,scrape_id,host_since,host_listings_count,host_verifications,host_identity_verified,neighbourhood_group_cleansed,longitude,bathrooms,beds,minimum_nights,minimum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,calendar_updated,availability_30,availability_90,calendar_last_scraped,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_private_rooms,reviews_per_month
1943,20241200000000.0,23/06/17,1.0,"['email', 'phone']",t,,151.10613,1.0,2.0,2,2,1125,2.0,,22,79,08/12/24,11,4.88,4.91,4.85,4.67,1,0,1.36
1944,20241200000000.0,06/06/13,3.0,"['email', 'phone']",t,,151.19724,1.0,0.0,9,4,1125,8.9,,0,1,08/12/24,9,4.74,4.65,4.82,4.6,3,0,0.8
1945,20241200000000.0,20/06/17,3.0,"['email', 'phone', 'work_email']",t,,151.1124,2.0,2.0,2,2,1125,2.0,,13,24,08/12/24,5,4.79,4.44,4.95,4.79,3,0,0.53
1946,20241200000000.0,19/11/16,2.0,['phone'],t,,151.32527,1.0,1.0,2,2,1125,2.0,,8,42,08/12/24,30,4.92,4.9,4.99,4.86,1,0,3.87
1947,20241200000000.0,22/01/16,15.0,"['email', 'phone']",t,,151.32449,3.0,7.0,2,2,365,2.4,,17,58,08/12/24,22,4.91,4.82,4.96,4.67,2,0,1.76
1948,20241200000000.0,25/06/17,1.0,"['email', 'phone']",t,,151.06743,1.0,1.0,90,90,1125,90.0,,29,89,08/12/24,0,4.85,4.96,4.85,4.77,1,1,0.29
1949,20241200000000.0,22/01/16,15.0,"['email', 'phone']",t,,151.32667,,,2,2,30,2.7,,0,2,08/12/24,6,4.94,4.93,4.95,4.88,2,0,0.52
1950,20241200000000.0,02/09/12,1.0,"['email', 'phone', 'work_email']",t,,151.28276,1.5,1.0,90,90,1125,90.0,,0,35,08/12/24,0,4.98,4.92,5.0,4.86,1,0,0.75
1951,20241200000000.0,24/08/17,2.0,"['email', 'phone']",f,,151.01021,,,90,90,1125,90.0,,0,0,08/12/24,1,4.56,4.68,4.71,4.67,2,0,0.9
1952,20241200000000.0,04/05/13,12.0,"['email', 'phone']",t,,151.24721,1.0,1.0,2,1,1125,2.1,,4,8,08/12/24,24,4.9,4.94,4.88,4.73,7,0,1.02
1953,20241200000000.0,30/07/16,1.0,"['email', 'phone']",f,,151.31819,,,7,7,180,10.5,,0,0,08/12/24,1,5.0,5.0,5.0,4.75,1,0,0.05
1954,20241200000000.0,26/06/17,1.0,"['email', 'phone']",t,,151.03566,2.0,2.0,90,90,720,90.0,,0,0,08/12/24,0,5.0,5.0,5.0,5.0,1,0,0.03
1955,20241200000000.0,15/10/12,1.0,"['email', 'phone']",t,,151.28201,3.0,4.0,7,4,30,6.9,,7,17,08/12/24,0,4.8,5.0,5.0,4.0,1,0,0.06
1956,20241200000000.0,26/06/17,3.0,"['email', 'phone']",t,,151.19795,2.0,3.0,3,3,1125,3.0,,0,8,08/12/24,4,4.97,4.96,4.99,4.83,3,0,1.28
1957,20241200000000.0,31/01/16,1.0,"['email', 'phone']",t,,151.20694,2.0,2.0,3,3,365,3.0,,0,0,08/12/24,2,5.0,3.0,5.0,4.0,1,0,0.27
1958,20241200000000.0,04/06/14,0.0,"['email', 'phone']",t,,151.21959,2.0,2.0,7,7,1125,7.0,,0,35,08/12/24,1,4.75,5.0,4.75,4.5,75,0,0.05
1959,20241200000000.0,10/07/13,237.0,"['email', 'phone', 'work_email']",t,,151.24426,1.0,3.0,90,90,3,90.0,,0,3,08/12/24,0,4.71,4.64,4.86,4.75,179,0,0.31
1960,20241200000000.0,27/08/14,1.0,"['email', 'phone']",t,,151.25937,4.5,6.0,7,6,1125,7.0,,6,48,08/12/24,10,4.9,4.59,4.97,4.82,1,0,0.46
1961,20241200000000.0,09/08/14,1.0,"['email', 'phone']",t,,151.25979,1.0,4.0,8,8,1125,8.0,,7,9,08/12/24,1,5.0,5.0,5.0,4.83,1,0,0.07
1962,20241200000000.0,12/05/13,1.0,"['email', 'phone']",t,,151.17871,1.5,1.0,7,6,730,7.0,,9,57,08/12/24,18,4.89,4.69,4.94,4.92,1,1,0.41
1963,20241200000000.0,13/05/15,15.0,"['email', 'phone']",t,,151.21222,1.0,2.0,2,2,1125,2.0,,8,41,08/12/24,3,4.32,4.21,4.84,4.16,10,0,0.21
1964,20241200000000.0,13/05/15,15.0,"['email', 'phone']",t,,151.21322,1.0,2.0,2,2,1125,2.0,,4,14,08/12/24,0,3.83,3.83,4.67,3.67,10,0,0.13
1965,20241200000000.0,10/09/15,1.0,['phone'],t,,151.29537,2.0,4.0,90,90,1125,90.0,,23,83,08/12/24,0,5.0,5.0,5.0,5.0,1,0,0.01
1966,20241200000000.0,13/05/15,15.0,"['email', 'phone']",t,,151.21142,1.0,2.0,2,2,1125,2.0,,3,15,08/12/24,2,4.31,4.52,4.97,4.17,10,0,0.32
1967,20241200000000.0,22/11/14,21.0,"['email', 'phone']",t,,151.20436,2.0,5.0,1,2,1125,2.0,,7,35,08/12/24,18,4.87,4.89,4.94,4.74,21,0,1.66
1968,20241200000000.0,26/03/17,1.0,"['email', 'phone']",t,,151.08538,2.5,3.0,2,2,365,2.0,,27,85,08/12/24,8,4.91,4.91,5.0,4.88,1,0,0.48
1969,20241200000000.0,29/03/17,7.0,"['email', 'phone']",t,,151.00443,1.0,1.0,1,1,730,1.0,,0,0,08/12/24,4,4.7,4.56,4.8,4.71,6,0,1.93
1970,20241200000000.0,13/05/14,55.0,"['email', 'phone']",t,,151.20174,2.0,2.0,90,90,1124,90.0,,29,89,08/12/24,0,4.85,4.85,4.92,4.69,55,0,0.15
1971,20241200000000.0,28/12/14,3.0,"['email', 'phone', 'work_email']",t,,150.85796,1.0,5.0,5,3,1125,63.0,,10,70,08/12/24,11,4.9,4.7,4.93,4.89,2,0,0.7
1972,20241200000000.0,29/08/17,1.0,"['email', 'phone']",t,,151.20389,1.5,4.0,2,2,1125,2.0,,13,53,08/12/24,32,4.82,4.9,4.95,4.72,1,0,2.74
1973,20241200000000.0,23/04/18,52.0,"['email', 'phone']",t,,151.1335,1.5,2.0,1,2,90,13.6,,15,75,08/12/24,10,4.48,4.24,4.85,4.5,50,0,1.42
1974,20241200000000.0,26/08/16,8.0,"['email', 'phone', 'work_email']",t,,151.28586,1.0,2.0,90,90,365,90.0,,30,90,08/12/24,0,4.53,4.59,4.91,4.31,4,0,0.37
1975,20241200000000.0,25/05/17,2.0,"['email', 'phone', 'work_email']",t,,151.00126,1.5,3.0,7,7,1125,7.2,,5,41,08/12/24,9,4.52,4.54,4.96,4.67,2,0,0.57
1976,20241200000000.0,30/01/14,1.0,"['email', 'phone', 'work_email']",f,,151.26988,1.0,1.0,5,5,1125,5.0,,0,30,08/12/24,4,4.93,4.93,5.0,4.86,1,0,0.5
1977,20241200000000.0,20/07/15,2.0,"['email', 'phone']",t,,151.11465,,,2,2,1125,2.0,,1,2,08/12/24,5,4.83,4.89,4.97,4.97,2,1,0.39
1978,20241200000000.0,10/12/12,1.0,"['email', 'phone']",t,,151.28574,2.0,0.0,7,5,21,7.0,,5,40,08/12/24,1,5.0,5.0,5.0,4.81,1,0,0.28
1979,20241200000000.0,11/03/13,2.0,"['email', 'phone']",t,,151.18962,1.0,1.0,90,90,300,90.0,,0,36,08/12/24,0,4.65,4.48,4.92,4.7,1,1,1.24
1980,20241200000000.0,31/10/15,1.0,"['email', 'phone']",t,,151.28933,1.0,2.0,20,5,1125,19.6,,9,26,08/12/24,14,4.55,4.49,4.85,4.64,1,0,1.7
1981,20241200000000.0,25/08/15,2.0,"['email', 'phone']",t,,150.8624918,3.0,3.0,2,2,180,2.1,,24,81,08/12/24,26,4.92,4.81,4.96,4.77,2,0,2.23
1982,20241200000000.0,21/06/17,4.0,"['email', 'phone']",t,,150.95992,1.0,2.0,1,1,1125,1.0,,23,83,08/12/24,22,4.68,4.76,4.91,4.67,4,0,3.09
1983,20241200000000.0,11/07/17,4.0,"['email', 'phone']",t,,151.20328,1.0,3.0,3,1,1125,7.3,,14,43,08/12/24,10,4.88,4.68,4.88,4.76,3,0,1.32
1984,20241200000000.0,07/07/12,6.0,"['email', 'phone']",t,,151.21266,1.0,1.0,2,1,1125,2.0,,2,14,08/12/24,35,4.7,4.54,4.97,4.74,6,4,0.85
1985,20241200000000.0,26/08/17,1.0,"['email', 'phone']",t,,151.09695,1.0,1.0,1,1,1125,1.0,,3,43,08/12/24,28,4.37,4.52,4.77,4.54,1,0,3.06
1986,20241200000000.0,17/07/13,1.0,"['email', 'phone']",t,,151.29411,1.0,1.0,4,1,30,4.1,,15,66,08/12/24,4,4.93,4.93,5.0,4.8,1,0,0.17
1987,20241200000000.0,10/12/13,4.0,"['email', 'phone']",t,,151.17694,2.0,4.0,14,4,730,12.8,,0,9,08/12/24,0,5.0,5.0,5.0,5.0,4,0,0.01
1988,20241200000000.0,12/04/17,10.0,"['email', 'phone', 'work_email']",t,,151.1963,1.0,1.0,2,14,99,14.0,,17,70,08/12/24,0,,,,,10,5,
1989,20241200000000.0,12/04/17,10.0,"['email', 'phone', 'work_email']",t,,151.19539,1.0,2.0,2,14,99,14.0,,10,63,08/12/24,0,,,,,10,5,
1990,20241200000000.0,27/05/13,12.0,"['email', 'phone', 'work_email']",t,,151.2133,2.0,4.0,1,1,1125,1.3,,4,56,08/12/24,3,4.83,4.84,4.95,4.77,12,0,1.1
1991,20241200000000.0,03/09/17,2.0,"['email', 'phone']",t,,151.28586,1.0,2.0,3,1,100,3.4,,0,9,08/12/24,16,4.72,4.73,4.97,4.72,2,0,1.46
1992,20241200000000.0,13/04/17,3.0,"['email', 'phone']",t,,151.260376,1.0,1.0,1,2,180,2.1,,0,23,08/12/24,18,4.47,4.56,4.7,4.37,3,0,1.51
1993,20241200000000.0,03/09/17,3.0,"['email', 'phone', 'work_email']",t,,151.3004507074496,1.0,1.0,5,5,365,5.0,,25,85,08/12/24,7,4.86,4.85,4.95,4.62,3,0,0.9
1994,20241200000000.0,01/02/17,1.0,"['email', 'phone', 'work_email']",t,,151.205734,1.5,3.0,2,1,14,9.6,,0,4,08/12/24,38,4.46,4.36,4.88,4.5,1,0,1.89
1995,20241200000000.0,14/03/14,2.0,"['email', 'phone']",t,,151.20302,2.0,3.0,2,2,365,2.3,,2,56,08/12/24,3,4.89,4.89,4.95,4.74,1,0,0.21
1996,20241200000000.0,09/07/17,1.0,['phone'],t,,151.08489,1.0,2.0,3,2,21,3.0,,2,14,08/12/24,14,4.79,4.81,4.86,4.83,1,1,0.79
1997,20241200000000.0,24/06/14,2.0,"['email', 'phone']",t,,151.27361,1.0,4.0,1,1,1125,1.0,,22,63,08/12/24,8,4.8,4.48,4.87,4.56,2,1,0.78
1998,20241200000000.0,29/04/16,1.0,"['email', 'phone', 'work_email']",t,,151.17065,1.0,1.0,3,3,730,3.0,,16,16,08/12/24,48,4.95,4.84,4.98,4.91,1,1,0.97
1999,20241200000000.0,29/12/12,1.0,"['email', 'phone']",t,,151.24403,1.0,1.0,1,1,9,1.0,,18,75,08/12/24,47,4.82,4.93,4.93,4.86,1,1,3.12
2000,20241200000000.0,26/02/16,3.0,"['email', 'phone']",t,,151.25514,2.0,3.0,3,3,1125,3.1,,6,16,08/12/24,2,4.76,4.79,4.94,4.64,3,0,0.8
2001,20241200000000.0,10/08/15,1.0,"['email', 'phone', 'work_email']",t,,151.2263,1.0,1.0,3,3,730,3.0,,3,40,08/12/24,23,4.96,4.96,5.0,4.8,1,0,2.03
2002,20241200000000.0,21/06/17,4.0,"['email', 'phone']",t,,150.95992,1.0,2.0,1,1,1125,1.0,,14,74,08/12/24,32,4.67,4.78,4.91,4.64,4,0,3.62
2003,20241200000000.0,10/12/13,4.0,"['email', 'phone']",t,,151.17563,1.0,2.0,4,2,1124,4.1,,0,14,08/12/24,27,4.85,4.8,4.95,4.79,4,0,1.57
2004,20241200000000.0,10/12/13,4.0,"['email', 'phone']",t,,151.17591,1.0,1.0,4,4,1125,4.1,,5,27,08/12/24,33,4.81,4.75,4.9,4.64,4,0,2.1
2005,20241200000000.0,04/09/17,1.0,['phone'],t,,151.32983,1.0,3.0,1,1,177,1.0,,10,68,08/12/24,23,4.54,4.77,4.96,4.36,1,0,1.54
2006,20241200000000.0,03/09/17,3.0,"['email', 'phone', 'work_email']",t,,151.30054792121854,1.0,5.0,7,7,365,7.0,,18,52,08/12/24,7,5.0,5.0,5.0,4.78,3,0,0.21
2007,20241200000000.0,18/01/16,1.0,"['email', 'phone', 'work_email']",t,,151.27338,1.0,1.0,6,5,180,6.0,,10,32,08/12/24,6,4.76,4.85,4.76,4.77,1,0,0.96
2008,20241200000000.0,31/08/17,58.0,"['email', 'phone']",t,,151.19313,,,3,3,99,25.3,,0,0,08/12/24,0,4.25,4.0,5.0,4.0,46,0,0.06
2009,20241200000000.0,31/08/17,58.0,"['email', 'phone']",t,,151.22185,1.0,1.0,28,3,99,25.3,,21,81,08/12/24,1,4.4,4.0,5.0,3.8,46,0,0.07
2010,20241200000000.0,31/08/17,58.0,"['email', 'phone']",t,,151.20822,1.0,1.0,28,3,99,25.3,,8,65,08/12/24,9,4.8,4.73,4.77,4.53,46,0,0.52
2011,20241200000000.0,21/07/13,1.0,"['email', 'phone', 'work_email']",t,,151.2103,1.0,1.0,7,7,60,7.0,,0,58,08/12/24,6,4.96,4.96,5.0,4.88,1,0,0.39
2012,20241200000000.0,05/03/16,1.0,"['email', 'phone', 'work_email']",t,,151.15918,1.0,2.0,4,4,1125,4.0,,2,2,08/12/24,4,4.59,4.32,4.76,4.76,1,0,0.25
2013,20241200000000.0,23/09/14,2.0,"['email', 'phone', 'work_email']",t,,151.27482,3.0,5.0,14,14,1125,14.0,,14,55,08/12/24,0,,,,,2,0,
2014,20241200000000.0,15/07/17,2.0,"['email', 'phone', 'work_email']",t,,151.29465,1.0,2.0,5,3,44,4.9,,3,3,08/12/24,26,4.99,4.96,5.0,4.94,2,0,2.31
2015,20241200000000.0,23/09/15,2.0,"['email', 'phone', 'work_email']",t,,151.25653,1.0,2.0,2,1,1125,2.0,,2,9,08/12/24,23,4.95,4.87,4.95,4.78,1,0,1.12
2016,20241200000000.0,02/03/14,2.0,"['email', 'phone']",t,,151.07032,1.0,1.0,90,90,1125,90.0,,30,90,08/12/24,0,5.0,5.0,3.0,4.0,2,2,0.01
2017,20241200000000.0,07/05/17,1.0,"['email', 'phone']",t,,150.86478,,,90,90,1125,90.0,,0,7,08/12/24,0,4.72,4.86,4.88,4.7,1,0,0.48
2018,20241200000000.0,20/03/16,1.0,"['phone', 'work_email']",t,,151.27741,1.0,3.0,2,2,1125,2.2,,19,72,08/12/24,1,4.5,4.5,5.0,5.0,1,0,0.02
2019,20241200000000.0,30/08/13,1.0,"['email', 'phone']",t,,151.25693,1.0,2.0,90,90,180,90.0,,1,1,08/12/24,1,4.96,4.78,5.0,4.86,1,0,0.26
2020,20241200000000.0,13/11/14,87.0,"['email', 'phone']",t,,151.32777801260073,,,1,1,2,2.5,,0,0,08/12/24,0,4.0,4.0,5.0,4.0,86,1,0.01
2021,20241200000000.0,26/08/16,8.0,"['email', 'phone', 'work_email']",t,,151.28586,,,4,4,180,4.0,,0,0,08/12/24,0,4.63,4.63,4.63,4.0,4,0,0.09
2022,20241200000000.0,19/08/17,1.0,"['email', 'phone']",t,,151.26506,1.0,1.0,3,3,1125,3.0,,1,2,08/12/24,41,4.96,4.96,4.99,4.94,1,0,2.8
2023,20241200000000.0,26/11/13,1.0,"['email', 'phone']",t,,151.17466,1.0,2.0,1,1,1124,1.0,,27,87,08/12/24,0,4.91,4.97,4.94,4.81,1,0,0.37
2024,20241200000000.0,23/04/18,52.0,"['email', 'phone']",t,,151.23356,1.0,2.0,2,2,90,13.6,,6,33,08/12/24,10,4.59,4.65,4.89,4.6,50,0,1.93
2025,20241200000000.0,12/09/17,1.0,"['email', 'phone']",t,,151.09777,1.0,2.0,1,1,1125,1.0,,8,23,08/12/24,67,4.93,5.0,4.97,4.92,1,0,2.56
2026,20241200000000.0,22/08/15,1.0,"['email', 'phone']",t,,151.31446,1.0,2.0,90,90,1125,90.0,,28,88,08/12/24,0,4.76,4.76,4.8,4.76,1,0,0.29
2027,20241200000000.0,13/05/14,55.0,"['email', 'phone']",t,,151.20531,1.0,0.0,90,90,1125,90.0,,29,89,08/12/24,0,4.9,5.0,5.0,5.0,55,0,0.11
2028,20241200000000.0,26/06/17,1.0,"['email', 'phone']",f,,151.02933,1.0,1.0,90,90,1125,90.0,,28,88,08/12/24,0,4.45,4.27,4.64,4.73,1,1,0.13
2029,20241200000000.0,05/07/14,1.0,"['email', 'phone', 'work_email']",t,,151.2541,2.0,5.0,90,90,180,90.0,,23,83,08/12/24,0,4.83,4.5,5.0,4.5,1,0,0.08
2030,20241200000000.0,03/05/16,1.0,"['email', 'phone']",t,,151.00474,1.0,2.0,2,2,1125,2.0,,3,46,08/12/24,24,4.94,4.97,4.96,4.9,1,0,1.89
2031,20241200000000.0,13/05/17,1.0,"['email', 'phone']",t,,151.11514,0.5,2.0,2,2,7,2.0,,0,11,08/12/24,25,4.92,4.89,4.97,4.94,1,0,1.78
2032,20241200000000.0,14/01/16,1.0,"['email', 'phone']",t,,151.22158,,,90,90,1125,90.0,,0,0,08/12/24,39,4.89,4.86,4.96,4.86,1,0,3.66
2033,20241200000000.0,20/07/17,8.0,['phone'],t,,151.23868,1.0,1.0,2,2,1125,2.0,,17,34,08/12/24,12,4.82,4.73,4.97,4.78,8,5,1.02
2034,20241200000000.0,10/07/17,1.0,"['email', 'phone', 'work_email']",t,,151.138,1.0,6.0,90,90,1125,90.0,,0,0,08/12/24,0,5.0,5.0,5.0,4.0,1,0,0.01
2035,20241200000000.0,20/07/17,8.0,['phone'],t,,151.23894,1.0,1.0,2,2,1125,2.0,,4,25,08/12/24,24,4.92,4.85,4.99,4.85,8,5,1.36
2036,20241200000000.0,20/07/17,8.0,['phone'],t,,151.23775,4.0,1.0,3,2,1125,3.0,,12,45,08/12/24,11,4.89,4.81,4.94,4.77,8,5,0.73
2037,20241200000000.0,30/06/17,4.0,"['email', 'phone', 'work_email']",t,,151.11322,1.0,1.0,1,1,1125,1.7,,17,77,08/12/24,19,4.79,4.85,4.89,4.76,4,4,1.68
2038,20241200000000.0,17/01/16,1.0,"['email', 'phone']",t,,151.2463,1.0,1.0,3,3,40,4.0,,5,14,08/12/24,24,4.99,4.99,5.0,4.97,1,0,2.13
2039,20241200000000.0,15/10/13,1.0,"['email', 'phone']",t,,151.25519,1.0,1.0,3,3,500,3.0,,0,16,08/12/24,27,4.96,4.97,4.97,4.86,1,0,1.81
2040,20241200000000.0,16/09/17,1.0,"['email', 'phone']",t,,151.2852,1.0,2.0,90,90,365,90.0,,6,66,08/12/24,0,4.75,4.5,5.0,4.63,1,0,0.09
2041,20241200000000.0,19/09/16,1.0,"['email', 'phone']",t,,151.28849,,,90,90,1125,90.0,,0,0,08/12/24,2,4.54,4.57,4.85,4.41,1,0,0.62
2042,20241200000000.0,26/02/15,1.0,"['email', 'phone']",t,,151.23395,,,2,2,1125,2.0,,0,0,08/12/24,36,4.9,4.96,4.96,4.86,1,0,3.26
2043,20241200000000.0,22/09/15,1.0,"['email', 'phone']",t,,151.27013,2.0,4.0,90,90,1125,90.0,,30,90,08/12/24,0,4.91,4.73,4.91,4.73,1,0,0.13
2044,20241200000000.0,02/10/15,5.0,"['email', 'phone']",t,,151.25584,1.0,5.0,1,1,1125,1.2,,0,10,08/12/24,100,4.89,4.94,4.99,4.81,1,0,6.85
2045,20241200000000.0,18/09/17,3.0,"['email', 'phone']",t,,151.03499,1.0,2.0,2,2,1125,2.0,,22,59,08/12/24,15,4.6,4.6,4.8,4.61,3,3,1.23
2046,20241200000000.0,26/04/10,51.0,"['email', 'phone']",t,,151.27251,3.0,4.0,7,4,200,6.8,,9,9,08/12/24,0,4.67,3.67,5.0,4.0,47,0,0.04
2047,20241200000000.0,02/06/16,1.0,['phone'],f,,151.27258,1.0,1.0,90,90,1125,90.0,,29,89,08/12/24,0,,,,,1,0,
2048,20241200000000.0,07/01/16,3.0,"['email', 'phone']",t,,151.23743,1.0,2.0,7,7,90,7.0,,13,20,08/12/24,2,4.7,4.7,4.9,4.8,1,0,0.11
2049,20241200000000.0,22/07/17,1.0,"['email', 'phone']",t,,150.87861,2.0,14.0,2,1,1125,2.0,,23,83,08/12/24,11,4.59,4.49,4.84,4.64,1,0,1.2
2050,20241200000000.0,22/07/17,1.0,"['email', 'phone']",t,,151.11166,1.0,1.0,2,2,1125,2.0,,4,39,08/12/24,11,4.95,4.96,4.95,4.89,1,0,0.85
